City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,El Cope,PA,78.26,scattered clouds,8.6167,-80.6,Hostal Buena Esperanza
2,Cabo San Lucas,MX,85.3,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
5,Kapaa,US,76.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Vaini,TO,80.62,light rain,-21.2,-175.2,Keleti Beach Resort
8,Kavieng,PG,80.74,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
9,Hithadhoo,MV,82.15,broken clouds,-0.6,73.0833,Scoop Guest House
13,Ca Mau,VN,77.18,few clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
15,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
24,Atuona,PF,77.54,light rain,-9.8,-139.0333,Villa Enata
27,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
29,Itupiranga,BR,84.52,overcast clouds,-5.1347,-49.3267,Hotel Panorama
34,Pontianak,ID,76.98,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
35,Cape Coast,GH,80.1,light rain,5.1053,-1.2466,Samrit Hotel
38,Lompoc,US,86.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
39,Labuhan,ID,75.9,overcast clouds,-6.8844,112.2051,DoubleFAG
42,Rikitea,PF,78.26,light rain,-23.1203,-134.9692,People ThankYou
44,Castro,BR,81.64,clear sky,-24.7911,-50.0119,CHACARA BAILLY
50,Hatillo,PR,84.38,few clouds,18.4863,-66.8254,El Buen Hotel
52,Clovis,US,82.47,scattered clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
57,Omboue,GA,78.51,light rain,-1.5746,9.2618,Hotel Olako
59,Faanui,PF,80.82,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,Eyl,SO,75.07,overcast clouds,7.9803,49.8164,Amiin Hotel
65,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
69,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
73,Horconcitos,PA,82.81,scattered clouds,8.4682,-81.8007,KAFETE S.A
80,Harper,LR,78.49,broken clouds,4.375,-7.7169,Screensaver
82,San Ramon,US,75.11,clear sky,37.7799,-121.978,San Ramon Marriott
86,Roebourne,AU,84.97,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
90,Hilo,US,78.24,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
92,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Lucea,JM,84.06,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
99,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
105,Sorong,ID,77.61,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
110,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
115,Tonj,SS,83.21,few clouds,7.2737,28.6822,Lakan Hotel
121,Vila Velha,BR,82.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
133,Pacific Grove,US,80.8,clear sky,36.6177,-121.9166,Lovers Point Inn
134,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
136,Butaritari,KI,81.77,broken clouds,3.0707,172.7902,Isles Sunset Lodge
149,Punta Alta,AR,85.82,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
151,Souillac,MU,81.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
152,Inhambane,MZ,76.66,clear sky,-23.865,35.3833,Oceano
153,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
158,Alvorada,BR,79.21,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
165,Giyani,ZA,75.25,clear sky,-23.3025,30.7187,Kulani Country Lodge
171,Pundaguitan,PH,79.88,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
172,Maceio,BR,83.64,clear sky,-9.6658,-35.7353,Poutur Pousada
173,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
174,Borba,BR,81.23,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
181,Coihaique,CL,81.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
182,Itarema,BR,82.27,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
184,Caborca,MX,79.29,clear sky,30.5838,-111.101,Hotel Los Lagos
