City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,El Cope,8.6167,-80.6,78.26,54,28,11.43,PA,2022-02-13 20:09:28,scattered clouds
1,Punta Arenas,-53.15,-70.9167,50.11,50,40,31.07,CL,2022-02-13 20:09:29,scattered clouds
2,Cabo San Lucas,22.8909,-109.9124,85.3,56,75,8.05,MX,2022-02-13 20:09:29,broken clouds
3,Barrow,71.2906,-156.7887,-29.18,100,0,8.05,US,2022-02-13 20:09:30,clear sky
4,Taoudenni,22.6783,-3.9836,66.18,22,0,11.59,ML,2022-02-13 20:09:30,clear sky
5,Kapaa,22.0752,-159.319,76.12,72,40,13.8,US,2022-02-13 20:09:31,scattered clouds
6,Hasaki,35.7333,140.8333,36.0,92,100,33.24,JP,2022-02-13 20:05:41,overcast clouds
7,Vaini,-21.2,-175.2,80.62,76,77,18.43,TO,2022-02-13 20:05:29,light rain
8,Kavieng,-2.5744,150.7967,80.74,78,96,6.8,PG,2022-02-13 20:09:31,overcast clouds
9,Hithadhoo,-0.6,73.0833,82.15,75,67,9.46,MV,2022-02-13 20:09:32,broken clouds
10,Port Elizabeth,-33.918,25.5701,70.27,85,76,10.83,ZA,2022-02-13 20:09:32,broken clouds
11,Busselton,-33.65,115.3333,63.05,75,0,11.5,AU,2022-02-13 20:09:33,clear sky
12,Coquimbo,-29.9533,-71.3436,73.13,53,0,12.66,CL,2022-02-13 20:09:33,clear sky
13,Ca Mau,9.1769,105.15,77.18,86,11,6.89,VN,2022-02-13 20:09:34,few clouds
14,Suntar,62.1444,117.6319,-15.88,100,100,1.1,RU,2022-02-13 20:09:34,overcast clouds
15,Salalah,17.0151,54.0924,77.09,25,0,4.61,OM,2022-02-13 20:07:49,clear sky
16,Buraydah,26.326,43.975,55.27,27,0,6.85,SA,2022-02-13 20:09:35,clear sky
17,Sorland,67.667,12.6934,33.66,59,100,25.84,NO,2022-02-13 20:09:36,light snow
18,Tadine,-21.55,167.8833,79.86,85,98,6.31,NC,2022-02-13 20:09:36,overcast clouds
19,Ushuaia,-54.8,-68.3,40.66,81,75,37.98,AR,2022-02-13 20:09:37,light rain
20,Geraldton,-28.7667,114.6,73.81,83,100,0.0,AU,2022-02-13 20:09:37,overcast clouds
21,Plettenberg Bay,-34.0527,23.3716,67.26,85,29,3.58,ZA,2022-02-13 20:09:38,scattered clouds
22,Bredasdorp,-34.5322,20.0403,68.29,80,92,13.53,ZA,2022-02-13 20:09:38,overcast clouds
